MolecularFormula,Mass,C,H,O,N,S,P,El_comp,DBE,HC,OC,NC,AI_mod,NOSC,compound_class,log_CIR
C13H12O4,231.066319307692,13,12,4,0,0,0,CHO,8.0,0.9230769230769231,0.3076923076923077,0.0,0.5454545454545454,-0.3076923076923075,aromatic,0.7923214177346896
C10H16O6,231.087410941176,10,16,6,0,0,0,CHO,3.0,1.6,0.6,0.0,0.0,-0.40000000000000036,carbohydrate_like,1.1756059747917291
C11H20O5,231.12378681579,11,20,5,0,0,0,CHO,2.0,1.8181818181818181,0.45454545454545453,0.0,0.0,-0.9090909090909092,lipid_like,1.1932119379851964
C12H11O4N,232.0615745,12,11,4,1,0,0,CHON,8.0,0.9166666666666666,0.3333333333333333,0.08333333333333333,0.6111111111111112,0.0,aromatic,0.8090996435159303
C9H16O6,232.090806,9,16,6,0,0,0,CHO,2.0,1.7777777777777777,0.6666666666666666,0.0,0.0,-0.44444444444444464,carbohydrate_like,1.0653002767925017
C8H15O5N3,232.093935333333,8,15,5,3,0,0,CHON,3.0,1.875,0.625,0.375,0.0,0.5,carbohydrate_like,1.2172770269037025
C10H19O5N,232.119048333333,10,19,5,1,0,0,CHON,2.0,1.9,0.5,0.1,0.0,-0.5999999999999996,carbohydrate_like,1.1124229246312662
C11H6O6,233.0091615,11,6,6,0,0,0,CHO,9.0,0.5454545454545454,0.5454545454545454,0.0,0.75,0.5454545454545454,condensed_aromatic,0.8475619497289755
C12H10O5,233.045555877551,12,10,5,0,0,0,CHO,8.0,0.8333333333333334,0.4166666666666667,0.0,0.5789473684210527,0.0,aromatic,0.7935341316656205
C9H14O7,233.066690833333,9,14,7,0,0,0,CHO,3.0,1.5555555555555556,0.7777777777777778,0.0,0.0,0.0,carbohydrate_like,1.168286459125449
